Date,Value
2022-03-01,28207241201473.242
2022-03-02,28242552707350.543
2022-03-03,28292600284313.086
2022-03-04,28289249429465.28
2022-03-05,28196575273954.08
2022-03-06,28156171913138.152
2022-03-07,28165774138872.984
2022-03-08,28202058135048.13
