Date,Curtailment
2021-06-01,36.784610765672504
2021-06-01,38.08457520562169
2021-06-01,32.469175923866025
2021-06-01,25.502700576985884
2021-06-01,20.991672457332857
2021-06-01,32.532945910834506
2021-06-01,51.05537224691377
2021-06-01,74.00185167829102
2021-06-01,110.3769988568121
2021-06-01,154.12832744540012
2021-06-01,212.17636871779442
2021-06-01,270.3394604711177
2021-06-01,267.40605950105726
2021-06-01,248.52879941564038
2021-06-01,207.7428370699807
2021-06-01,151.06657206797004
2021-06-01,109.56716519652963
2021-06-01,75.9252169827679
2021-06-01,49.30195475988299
2021-06-01,38.79762583197362
2021-06-01,34.58214846612692
2021-06-01,41.46760851452714
2021-06-01,55.12760158195777
2021-06-01,65.30974572791602
2021-06-02,71.27309856622585
2021-06-02,71.01948204945546
2021-06-02,65.39322169310287
2021-06-02,57.301775731117914
2021-06-02,54.71373163789368
2021-06-02,61.53719269808853
2021-06-02,76.9846080783444
2021-06-02,99.71962531282354
2021-06-02,128.45987017565594
2021-06-02,159.77078967394252
2021-06-02,190.41118786583044
2021-06-02,211.99049187656212
2021-06-02,213.73264556924798
2021-06-02,200.31076809540835
2021-06-02,175.6989251911545
2021-06-02,145.3844319918942
2021-06-02,117.61856715873749
2021-06-02,94.26928608179323
2021-06-02,77.35053601915826
2021-06-02,69.32261304628715
2021-06-02,68.00191070777268
2021-06-02,72.60407522045817
2021-06-02,80.121039785189
2021-06-02,86.05512992937663
2021-06-03,88.7244879343774
2021-06-03,87.49228598554957
2021-06-03,83.35321600642617
2021-06-03,79.17282087988394
2021-06-03,78.63163710766513
2021-06-03,84.1110645338836
2021-06-03,95.86171566484698
2021-06-03,112.67501360693379
2021-06-03,132.5529654229411
2021-06-03,152.7321282503571
2021-06-03,169.98117735080248
2021-06-03,180.27140983541682
2021-06-03,180.6842900266782
2021-06-03,171.9446968074901
2021-06-03,156.55125213710272
2021-06-03,138.00009100074382
2021-06-03,120.0079342492928
2021-06-03,104.9227272706573
2021-06-03,94.41408444297332
2021-06-03,89.3199758373576
2021-06-03,88.8294436676218
2021-06-03,91.55893758340093
2021-06-03,95.46884236270236
2021-06-03,98.41033471379954
2021-06-04,99.29790410408602
2021-06-04,98.03146031252226
2021-06-04,95.5422266135655
2021-06-04,93.64543208334103
2021-06-04,94.28992110238417
2021-06-04,98.7699968980973
2021-06-04,107.26287885377958
2021-06-04,118.89113243435223
2021-06-04,132.07552473580927
2021-06-04,144.79575069200732
2021-06-04,154.85651880876588
2021-06-04,160.23017233930298
2021-06-04,159.79996185831607
2021-06-04,153.91126148667232
2021-06-04,144.049478754373
2021-06-04,132.3239929919572
2021-06-04,120.88788257969915
2021-06-04,111.40409472008857
2021-06-04,104.93400943154022
2021-06-04,101.79443003046
2021-06-04,101.465380445946
2021-06-04,102.90656207502266
2021-06-04,104.84206681325715
2021-06-04,106.14906622621572
2021-06-05,106.26822856943038
2021-06-05,105.2894881777008
2021-06-05,103.9057913318007
2021-06-05,103.21014914673066
2021-06-05,104.28616016656525
2021-06-05,107.81275479038844
2021-06-05,113.8199746641847
2021-06-05,121.6773756039861
2021-06-05,130.2723523156764
2021-06-05,138.23572539767787
2021-06-05,144.19218253618644
2021-06-05,147.0527373674025
2021-06-05,146.33224746140849
2021-06-05,142.3145838458299
2021-06-05,135.9336629679987
2021-06-05,128.48477294458112
2021-06-05,121.28348230515007
2021-06-05,115.37712781081746
2021-06-05,111.38575031202335
2021-06-05,109.42184103390872
2021-06-05,109.11586002909925
2021-06-05,109.78799126918648
2021-06-05,110.67512317171789
2021-06-05,111.17136238502758
2021-06-06,111.01470068329706
2021-06-06,110.34004626950271
2021-06-06,109.6216888242806
2021-06-06,109.51649148314141
2021-06-06,110.63267113398689
2021-06-06,113.3134813138158
2021-06-06,117.50644888749112
2021-06-06,122.75631559213774
2021-06-06,128.30939511318826
2021-06-06,133.2755693928624
2021-06-06,136.8145747268258
2021-06-06,138.32476477947117
2021-06-06,137.59518404003938
2021-06-06,134.86015678638344
2021-06-06,130.72456126349545
2021-06-06,125.99462016386437
2021-06-06,121.4766650986506
2021-06-06,117.8033548168867
2021-06-06,115.3241954188077
2021-06-06,114.06693022661212
2021-06-06,113.7771571319859
2021-06-06,114.03076244052434
2021-06-06,114.3815037621095
2021-06-06,114.50286508204431
2021-06-07,114.28361298510659
2021-06-07,113.8494832055849
2021-06-07,113.51364719712825
2021-06-07,113.67026800774397
2021-06-07,114.65862247837623
2021-06-07,116.64169564018059
2021-06-07,119.53695602770591
2021-06-07,123.01866828725105
2021-06-07,126.58626596660726
2021-06-07,129.6737905934939
2021-06-07,131.77411638026442
2021-06-07,132.55322876870449
2021-06-07,131.92738424175724
2021-06-07,130.0787417542321
2021-06-07,127.40221143526223
2021-06-07,124.4016577903163
2021-06-07,121.56892194869529
2021-06-07,119.27917361214203
2021-06-07,117.72558064951303
2021-06-07,116.90325132391976
2021-06-07,116.64340307123156
2021-06-07,116.68746504318167
2021-06-07,116.7785262709337
2021-06-07,116.74364512750341
2021-06-08,116.54399664611175
2021-06-08,116.28030312386727
2021-06-08,116.15504130904426
2021-06-08,116.40311291345573
2021-06-08,117.21070522964281
2021-06-08,118.64673328455923
