Date,Price
2022-11-01,57.346163956884155
2022-11-01,58.09900561917443
2022-11-01,59.40511316979817
2022-11-01,60.63965617107217
2022-11-01,62.32931056124648
2022-11-01,63.23877155096508
2022-11-01,60.83179140483831
2022-11-01,56.09406979625908
2022-11-01,51.737568188223044
2022-11-01,50.085169142755745
2022-11-01,50.32188568236796
2022-11-01,51.46780047450025
2022-11-01,52.98959684003364
2022-11-01,55.24223534617261
2022-11-01,58.33336739870991
2022-11-01,60.261074532877224
2022-11-01,60.193322069361976
2022-11-01,59.159085890211685
2022-11-01,57.70965040039955
2022-11-01,56.07193986278752
2022-11-01,54.5813529631139
2022-11-01,53.47066272596347
2022-11-01,52.543958485317454
2022-11-01,52.08561279892175
2022-11-02,52.15862471427874
2022-11-02,52.71604498738356
2022-11-02,53.447908587129085
2022-11-02,54.06838164968515
2022-11-02,54.08958194425832
2022-11-02,53.65822843497754
2022-11-02,52.38882518488877
2022-11-02,50.66391117869457
2022-11-02,49.175722538457755
2022-11-02,48.41650855665149
2022-11-02,48.43662173881369
2022-11-02,48.948267386218156
2022-11-02,49.70989103732333
2022-11-02,50.64247615573849
2022-11-02,51.591189930257634
2022-11-02,52.2207736784651
2022-11-02,52.29290786978635
2022-11-02,51.881729421054565
2022-11-02,51.15827119455822
2022-11-02,50.292258769086764
2022-11-02,49.479053633490096
2022-11-02,48.85067626818001
2022-11-02,48.46202657751443
2022-11-02,48.320812271671954
2022-11-03,48.41720169878389
2022-11-03,48.667929793523655
2022-11-03,48.94034487357454
2022-11-03,49.06874591349097
2022-11-03,48.93608235524274
2022-11-03,48.53357525766861
2022-11-03,47.91037718952616
2022-11-03,47.202613229098176
2022-11-03,46.61226173317764
2022-11-03,46.290795673217396
2022-11-03,46.26463907831264
2022-11-03,46.46332007025032
2022-11-03,46.791674168842626
2022-11-03,47.16415161250817
2022-11-03,47.49560816681764
2022-11-03,47.68667445585482
2022-11-03,47.66733467841382
2022-11-03,47.43957496601423
2022-11-03,47.06499762195728
2022-11-03,46.6256874539945
2022-11-03,46.21754931169802
2022-11-03,45.907872961791014
2022-11-03,45.7279512089282
2022-11-03,45.67293830712786
2022-11-04,45.71246891672636
2022-11-04,45.79716405388202
2022-11-04,45.864256021394425
2022-11-04,45.85259621352038
2022-11-04,45.726386194704396
2022-11-04,45.48952008891728
2022-11-04,45.18100965175652
2022-11-04,44.862963466599446
2022-11-04,44.6047543784438
2022-11-04,44.45608776478462
2022-11-04,44.428154879208414
2022-11-04,44.497800995938746
2022-11-04,44.6240847563726
2022-11-04,44.7625126202277
2022-11-04,44.87009768006895
2022-11-04,44.909604102129364
2022-11-04,44.85887807565621
2022-11-04,44.720837470426495
2022-11-04,44.521596211697094
2022-11-04,44.30043775085544
2022-11-04,44.098422248220395
2022-11-04,43.94590380627181
2022-11-04,43.8551797849081
2022-11-04,43.82059388624504
2022-11-05,43.823390177579874
2022-11-05,43.837567214289614
2022-11-05,43.83565177557369
2022-11-05,43.79526280241318
2022-11-05,43.70604774653943
2022-11-05,43.57358064947162
2022-11-05,43.41736041130203
2022-11-05,43.26447206269321
2022-11-05,43.1415117064023
2022-11-05,43.06625094718623
2022-11-05,43.04222916604612
2022-11-05,43.059621564744425
2022-11-05,43.100039429331275
2022-11-05,43.142303376290194
2022-11-05,43.166687983091116
2022-11-05,43.15828960367876
2022-11-05,43.11031259964216
2022-11-05,43.02614692653738
2022-11-05,42.91832757409926
2022-11-05,42.804509576787126
2022-11-05,42.70215065355373
2022-11-05,42.623569855898886
2022-11-05,42.572989023405334
2022-11-05,42.54653829081642
2022-11-06,42.53452552245511
2022-11-06,42.524627694142374
2022-11-06,42.50510154200124
2022-11-06,42.46765851864253
2022-11-06,42.40969046166287
2022-11-06,42.335075056966346
2022-11-06,42.25299355428609
2022-11-06,42.17508601081027
2022-11-06,42.1119871779671
2022-11-06,42.070235851829906
2022-11-06,42.05057181006429
2022-11-06,42.04821614787077
2022-11-06,42.05471669174194
2022-11-06,42.060397372836064
2022-11-06,42.05660574385211
2022-11-06,42.03747640293462
2022-11-06,42.00113296699763
2022-11-06,41.95005476557773
2022-11-06,41.890291922489524
2022-11-06,41.82964546174649
2022-11-06,41.775403352948096
2022-11-06,41.73236178959827
2022-11-06,41.70174114324003
2022-11-06,41.68127998191471
2022-11-07,41.666298677651795
2022-11-07,41.65122643290306
2022-11-07,41.63113430515558
2022-11-07,41.60296761937052
2022-11-07,41.56628933782706
2022-11-07,41.52334862284137
2022-11-07,41.47839772020968
2022-11-07,41.43642904249488
2022-11-07,41.40172640169472
2022-11-07,41.376672826347644
2022-11-07,41.36117047243631
2022-11-07,41.3528198566904
2022-11-07,41.3477199976704
2022-11-07,41.341557383382046
2022-11-07,41.330655905129106
2022-11-07,41.312775431934604
2022-11-07,41.28754469141494
2022-11-07,41.2564505823217
2022-11-07,41.22236042426964
2022-11-07,41.18868485061438
2022-11-07,41.15842467310854
2022-11-07,41.13339118092678
2022-11-07,41.113825830005744
2022-11-07,41.098504111307065
2022-11-08,41.085236774541855
2022-11-08,41.07156901235184
2022-11-08,41.05546648583698
2022-11-08,41.03582967308433
2022-11-08,41.01274071792267
2022-11-08,40.9873970445073
